Time,Distance,Status
911,3743,OK
825,3742,OK
665,2787,OK
852,3339,OK
797,3211,OK
872,3110,OK
638,2786,OK
823,3725,OK
717,3121,OK
924,4192,OK
702,2798,OK
705,3319,OK
774,3272,OK
627,3056,OK
915,3989,OK
812,3420,OK
911,3570,OK
732,2917,OK
993,4028,OK
919,3706,OK
866,3623,OK
788,3595,OK
978,3959,OK
705,2865,OK
978,3958,OK
703,3076,OK
912,3748,OK
577,2492,OK
694,3033,OK
670,2990,OK
792,4063,OK
652,2880,OK
869,3641,OK
858,3737,OK
861,3752,OK
685,2866,OK
700,2858,OK
914,3985,OK
705,3027,OK
882,3166,OK
818,4023,OK
992,4023,OK
997,4059,OK
910,3968,OK
884,3392,OK
859,3739,OK
738,2951,OK
914,3754,OK
911,3578,OK
920,3607,OK
824,3731,OK
824,3731,OK
810,3057,OK
762,2998,OK
941,3952,OK
781,3322,OK
764,3276,OK
860,3747,OK
922,3710,OK
905,3691,OK
880,3365,OK
991,4018,OK
867,3628,OK
692,2969,OK
677,2865,OK
977,3953,OK
842,3557,OK
613,2655,OK
917,3997,OK
950,3501,OK
885,3859,OK
869,3647,OK
656,2930,OK
974,3930,OK
846,3570,OK
908,3695,OK
796,3205,OK
796,3205,OK
694,2987,OK
988,4000,OK
588,2508,OK
677,2865,OK
696,2986,OK
927,3822,OK
732,3343,OK
598,2559,OK
913,3580,OK
752,3476,OK
915,3757,OK
680,2895,OK
923,4030,OK
636,3191,OK
859,3745,OK
912,3975,OK
855,3720,OK
967,3898,OK
915,3604,OK
729,2885,OK
825,3738,OK
684,3399,OK
823,3109,OK
917,3604,OK
912,3699,OK
912,3699,OK
991,4022,OK
908,4605,OK
968,3900,OK
906,3731,OK
795,3200,OK
585,2487,OK
853,3710,OK
927,3716,OK
699,3018,OK
890,3209,OK
837,3288,OK
674,2970,OK
972,3265,OK
916,3600,OK
895,3227,OK
700,3017,OK
947,4378,OK
758,3514,OK
916,3763,OK
923,4030,OK
760,3526,OK
694,2986,OK
851,3701,OK
625,2762,OK
861,3754,OK
861,3754,OK
763,3267,OK
744,3045,OK
885,3062,OK
926,3814,OK
795,3197,OK
654,2912,OK
714,3102,OK
992,4026,OK
705,3330,OK
911,3973,OK
835,3720,OK
871,3657,OK
889,3876,OK
667,2740,OK
955,3621,OK
660,2941,OK
753,3482,OK
953,4006,OK
868,3638,OK
907,3732,OK
659,2935,OK
934,3885,OK
917,3767,OK
810,3410,OK
849,4259,OK
849,4259,OK
921,3708,OK
729,3456,OK
923,4030,OK
761,2992,OK
903,3972,OK
949,3500,OK
973,4209,OK
826,3748,OK
732,2900,OK
965,3888,OK
860,3751,OK
909,3967,OK
908,3741,OK
918,3611,OK
696,2987,OK
880,3368,OK
944,3965,OK
881,3372,OK
992,4031,OK
662,2968,OK
825,3659,OK
849,3733,OK
917,3997,OK
828,4101,OK
676,3395,OK
676,3395,OK
729,3057,OK
777,3203,OK
861,3756,OK
917,3767,OK
923,4023,OK
960,3513,OK
840,3304,OK
671,2944,OK
656,2918,OK
918,3351,OK
656,2871,OK
962,3875,OK
914,3600,OK
608,2791,OK
934,3887,OK
908,3962,OK
960,4035,OK
807,3037,OK
953,3620,OK
696,2996,OK
910,3747,OK
918,4003,OK
746,3565,OK
862,3318,OK
850,3739,OK
850,3739,OK
707,2865,OK
678,2867,OK
624,2723,OK
652,2898,OK
993,4037,OK
879,3359,OK
698,2948,OK
799,3453,OK
727,3054,OK
717,3119,OK
920,4013,OK
920,3780,OK
880,3364,OK
905,3707,OK
688,2953,OK
907,3958,OK
915,3605,OK
678,2873,OK
835,3529,OK
917,4002,OK
785,3249,OK
919,3619,OK
700,3026,OK
852,3751,OK
649,2882,OK
649,2882,OK
878,3357,OK
642,2859,OK
993,4042,OK
866,3793,OK
852,3705,OK
809,3791,OK
911,3754,OK
920,4013,OK
794,3308,OK
592,2542,OK
807,3466,OK
646,2889,OK
909,3967,OK
893,3901,OK
846,3784,OK
751,3248,OK
906,3713,OK
920,3624,OK
682,2897,OK
696,3000,OK
972,4198,OK
921,3787,OK
819,3626,OK
910,3973,OK
811,3066,OK
811,3066,OK
919,4009,OK
955,3621,OK
736,3346,OK
692,2976,OK
877,3352,OK
693,2985,OK
831,4126,OK
694,2988,OK
701,3027,OK
773,3348,OK
838,3291,OK
749,3262,OK
768,3307,OK
910,3973,OK
911,3314,OK
996,4066,OK
661,2943,OK
913,3762,OK
700,3023,OK
906,3713,OK
842,3557,OK
995,4064,OK
835,3526,OK
789,3116,OK
877,3350,OK
877,3350,OK
919,3615,OK
661,2939,OK
945,3974,OK
698,3013,OK
796,3638,OK
922,3794,OK
878,3353,OK
837,3285,OK
774,3353,OK
873,3326,OK
682,2898,OK
921,3631,OK
644,2875,OK
664,2797,OK
853,3633,OK
611,2842,OK
853,3760,OK
915,4131,OK
979,3959,OK
755,3493,OK
917,4002,OK
977,3951,OK
951,4241,OK
995,4055,OK
661,3070,OK
661,3070,OK
787,3390,OK
701,3023,OK
663,2956,OK
742,3221,OK
993,4040,OK
995,4061,OK
641,2676,OK
761,3482,OK
889,3879,OK
772,3330,OK
586,2551,OK
774,3353,OK
748,3254,OK
817,3523,OK
760,3495,OK
748,3254,OK
870,3092,OK
918,3617,OK
1020,3242,OK
706,3024,OK
922,3636,OK
828,3236,OK
807,3037,OK
850,3615,OK
845,3791,OK
845,3791,OK
808,3540,OK
994,4054,OK
784,3623,OK
945,3751,OK
923,3799,OK
914,3770,OK
916,3998,OK
908,3357,OK
900,3935,OK
850,3608,OK
857,3859,OK
872,3318,OK
874,3682,OK
772,3799,OK
994,4055,OK
659,2926,OK
846,3800,OK
979,3962,OK
578,2509,OK
641,3132,OK
979,3962,OK
782,3625,OK
685,2923,OK
919,3615,OK
925,3659,OK
925,3659,OK
901,4557,OK
616,2665,OK
762,3122,OK
828,3240,OK
960,4300,OK
923,3641,OK
943,3740,OK
701,2961,OK
944,3770,OK
954,3812,OK
706,3061,OK
781,3236,OK
855,4239,OK
835,3274,OK
827,3144,OK
690,3235,OK
871,3314,OK
774,3353,OK
915,3774,OK
658,2765,OK
686,3106,OK
872,3667,OK
668,2927,OK
933,3694,OK
925,3807,OK
925,3807,OK
674,3153,OK
672,2832,OK
910,3973,OK
688,2853,OK
924,3646,OK
899,3786,OK
875,3687,OK
944,3743,OK
773,3178,OK
848,3599,OK
874,3329,OK
993,4048,OK
672,3121,OK
944,3770,OK
607,2633,OK
834,3270,OK
925,3651,OK
911,3700,OK
870,3309,OK
699,3017,OK
944,3770,OK
703,3045,OK
982,3537,OK
830,3250,OK
853,3283,OK
853,3283,OK
970,4180,OK
874,3096,OK
926,3812,OK
646,2866,OK
740,2902,OK
749,3259,OK
685,2932,OK
905,3686,OK
776,3366,OK
944,3749,OK
649,2880,OK
666,3036,OK
944,3765,OK
685,3100,OK
995,4057,OK
876,3691,OK
898,3927,OK
848,3596,OK
960,3193,OK
869,3303,OK
660,2934,OK
912,3779,OK
688,2938,OK
734,3173,OK
831,4118,OK
831,4118,OK
592,2538,OK
873,3325,OK
927,3660,OK
796,3321,OK
744,2906,OK
873,3323,OK
715,3137,OK
716,3136,OK
969,4176,OK
791,3176,OK
702,3038,OK
534,2420,OK
851,3272,OK
834,3274,OK
912,3983,OK
927,3819,OK
716,3528,OK
680,3392,OK
932,3284,OK
918,3788,OK
769,3317,OK
992,4040,OK
701,3029,OK
699,3018,OK
835,3277,OK
835,3277,OK
943,3760,OK
685,2924,OK
876,3696,OK
733,2895,OK
917,3783,OK
828,4088,OK
778,3374,OK
933,3288,OK
756,3270,OK
641,2834,OK
928,3666,OK
916,3339,OK
960,3193,OK
778,3373,OK
646,2847,OK
953,3828,OK
666,3108,OK
801,3346,OK
874,3679,OK
651,2891,OK
688,2856,OK
718,3399,OK
919,3793,OK
923,3791,OK
900,3790,OK
900,3790,OK
924,3819,OK
622,2714,OK
932,3845,OK
942,3812,OK
930,3671,OK
739,3208,OK
695,2986,OK
868,3297,OK
683,3091,OK
682,3086,OK
692,2977,OK
872,3318,OK
942,3753,OK
880,3351,OK
637,3206,OK
877,3702,OK
915,3999,OK
1019,3881,OK
990,4032,OK
647,2872,OK
836,3284,OK
656,3288,OK
778,3378,OK
920,3798,OK
647,2977,OK
647,2977,OK
897,3782,OK
599,2582,OK
709,3072,OK
929,3830,OK
900,3790,OK
983,3795,OK
694,3007,OK
833,3270,OK
942,3748,OK
740,3213,OK
932,3682,OK
896,3919,OK
925,3653,OK
807,3696,OK
867,3290,OK
878,3710,OK
871,3312,OK
895,3775,OK
706,3002,OK
915,3769,OK
838,4150,OK
901,4557,OK
859,4263,OK
708,3010,OK
680,3080,OK
680,3080,OK
598,2578,OK
830,3244,OK
679,3128,OK
844,3785,OK
878,3112,OK
691,2954,OK
894,3769,OK
843,3239,OK
876,3697,OK
703,2983,OK
918,4522,OK
835,3277,OK
742,3224,OK
932,3681,OK
931,3838,OK
989,4023,OK
869,3306,OK
925,3653,OK
900,3790,OK
640,3130,OK
815,3171,OK
963,3211,OK
922,3811,OK
941,3742,OK
767,3153,OK
767,3153,OK
605,2620,OK
919,3369,OK
931,4281,OK
921,3806,OK
598,2583,OK
926,3377,OK
665,3126,OK
729,3145,OK
892,3764,OK
892,4079,OK
880,3726,OK
593,2544,OK
967,3234,OK
970,3254,OK
927,3661,OK
716,3119,OK
789,3678,OK
785,3830,OK
598,2578,OK
696,3005,OK
947,3785,OK
671,3334,OK
988,4019,OK
734,3225,OK
783,3636,OK
783,3636,OK
949,3447,OK
926,3661,OK
949,3447,OK
949,3447,OK
880,3721,OK
910,3803,OK
609,2630,OK
781,3392,OK
836,3283,OK
902,3800,OK
781,3125,OK
736,3197,OK
828,3236,OK
781,3125,OK
649,2866,OK
930,3674,OK
656,2898,OK
679,3076,OK
846,3796,OK
593,2549,OK
824,3214,OK
748,3231,OK
927,3665,OK
737,3198,OK
844,3679,OK
844,3679,OK
733,3179,OK
970,3254,OK
815,3736,OK
924,3817,OK
651,2893,OK
715,3113,OK
784,3645,OK
860,4271,OK
711,3111,OK
898,3227,OK
896,3931,OK
652,3194,OK
949,3798,OK
760,3099,OK
710,3105,OK
690,2948,OK
888,3753,OK
958,3861,OK
949,3780,OK
926,3377,OK
997,4072,OK
715,3133,OK
893,3916,OK
693,2992,OK
714,3017,OK
714,3017,OK
987,4012,OK
929,3672,OK
846,3723,OK
847,3770,OK
889,4351,OK
709,3099,OK
685,2955,OK
837,3289,OK
970,4176,OK
925,3822,OK
821,3592,OK
939,3728,OK
840,3313,OK
706,3086,OK
932,3883,OK
801,3352,OK
710,3078,OK
914,3174,OK
980,3775,OK
691,2978,OK
975,4206,OK
948,3795,OK
699,2950,OK
718,3138,OK
936,3388,OK
936,3388,OK
678,3070,OK
827,3227,OK
820,3587,OK
914,3341,OK
832,4126,OK
678,3072,OK
666,2979,OK
695,2925,OK
706,3084,OK
903,3809,OK
938,3900,OK
719,3143,OK
930,3679,OK
939,3727,OK
899,3950,OK
937,3729,OK
668,3007,OK
926,3828,OK
669,3016,OK
739,3210,OK
897,3780,OK
734,3184,OK
983,3795,OK
980,4388,OK
702,3045,OK
702,3045,OK
934,3693,OK
981,3974,OK
675,3102,OK
785,3396,OK
726,3196,OK
704,3050,OK
926,3781,OK
773,3558,OK
986,4006,OK
756,3270,OK
704,3076,OK
840,3313,OK
896,3776,OK
836,4165,OK
900,3957,OK
674,3033,OK
667,2998,OK
838,3678,OK
698,3019,OK
894,3771,OK
666,2990,OK
935,3299,OK
798,3734,OK
702,3064,OK
942,3394,OK
942,3394,OK
841,3320,OK
703,3069,OK
958,3861,OK
909,3843,OK
695,2975,OK
851,3656,OK
699,2955,OK
646,3161,OK
826,3498,OK
880,3721,OK
868,3921,OK
958,4430,OK
866,4353,OK
707,3011,OK
927,3834,OK
600,2579,OK
860,3258,OK
765,3511,OK
769,3175,OK
718,3133,OK
627,2746,OK
981,4018,OK
798,3717,OK
665,2984,OK
892,3765,OK
892,3765,OK
664,2977,OK
